iter	Passed	Remaining
0	0	79
1	1	81
2	2	78
3	3	74
4	3	71
5	4	67
6	4	65
7	5	63
8	6	62
9	6	60
10	7	60
11	8	59
12	8	59
13	9	57
14	10	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	22	40
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	35
42	26	35
43	27	34
44	27	34
45	28	33
46	29	33
47	30	32
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	35	29
54	35	29
55	36	28
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	40	24
62	41	24
63	42	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	65	0
99	65	0
