iter	Passed	Remaining
0	143	142954
1	143	71694
2	144	47904
3	144	36005
4	145	28861
5	145	24100
6	145	20697
7	146	18149
8	146	16163
9	147	14594
10	148	13311
11	148	12235
12	149	11317
13	149	10528
14	149	9848
15	150	9248
16	150	8725
17	151	8258
18	151	7839
19	152	7464
20	152	7123
21	153	6811
22	153	6527
23	154	6266
24	154	6026
25	154	5804
26	155	5601
27	155	5410
28	156	5232
29	156	5067
30	157	4911
31	157	4765
32	157	4629
33	158	4501
34	158	4379
35	159	4265
36	159	4157
37	160	4055
38	160	3959
39	161	3870
40	161	3782
41	162	3701
42	162	3627
43	163	3555
44	164	3483
45	164	3412
46	165	3345
47	165	3281
48	165	3219
49	166	3159
50	166	3102
51	167	3047
52	167	2994
53	168	2943
54	168	2894
55	169	2849
56	169	2804
57	169	2760
58	170	2718
59	170	2676
60	171	2636
61	171	2598
62	172	2560
63	172	2524
64	173	2489
65	173	2455
66	173	2422
67	174	2390
68	174	2358
69	175	2328
70	175	2298
71	176	2269
72	176	2241
73	176	2214
74	177	2189
75	178	2165
76	178	2144
77	179	2120
78	179	2096
79	180	2075
80	181	2055
81	181	2036
82	182	2011
83	182	1991
84	183	1970
85	183	1949
86	183	1929
87	184	1910
88	184	1892
89	185	1873
90	185	1854
91	186	1837
92	186	1819
93	187	1803
94	187	1787
95	188	1771
96	188	1756
97	189	1741
98	189	1725
99	190	1710
100	190	1695
101	190	1680
102	191	1666
103	191	1652
104	192	1638
105	192	1626
106	193	1615
107	194	1603
108	194	1591
109	195	1579
110	195	1568
111	196	1557
112	196	1545
113	197	1533
114	197	1522
115	198	1510
116	198	1498
117	199	1487
118	199	1476
119	199	1466
120	200	1455
121	200	1444
122	201	1433
123	201	1423
124	201	1413
125	202	1403
126	202	1394
127	203	1384
128	203	1375
129	204	1366
130	204	1357
131	205	1349
132	205	1340
133	206	1332
134	206	1324
135	207	1316
136	207	1309
137	208	1302
138	209	1294
139	209	1288
140	210	1281
141	210	1273
142	211	1265
143	211	1257
144	212	1250
145	212	1242
146	212	1235
147	213	1228
148	213	1221
149	214	1214
150	214	1208
